id,latitud,longitud,nombre
1,4.6283,-74.0653,Universidad Javeriana
2,4.621,-74.063,Parque Nacional Olaya Herrera
3,4.667,-74.054,Centro Comercial Andino
4,4.609,-74.068,Museo Nacional de Colombia
5,4.612,-74.069,Planetario de Bogotá
6,4.6049,-74.0634,Monserrate
7,4.5981,-74.0761,Plaza de Bolívar
8,4.5983,-74.0723,Barrio La Candelaria
9,4.658,-74.093,Parque Simón Bolívar
10,4.676,-74.049,Parque de la 93
11,4.706,-74.040,Centro Comercial Unicentro
12,4.670,-74.058,Zona Rosa - Zona T
13,4.633,-74.062,Chapinero Alto
14,4.658,-74.093,Biblioteca Virgilio Barco
15,4.5983,-74.0718,Teatro Colón
